Year Read,Book Name,Book Title,Author,Description,Links2,Links
2023,The Primal Hunter 4,The Primal Hunter 4,Zogarth,,<a href='https://www.goodreads.com/book/show/61868425-the-primal-hunter-4?from_search=true&from_srp=true&qid=XhiyrONVM7&rank=3'>The Primal Hunter 4</a>,https://www.goodreads.com/book/show/61868425-the-primal-hunter-4?from_search=true&from_srp=true&qid=XhiyrONVM7&rank=3
2023,The Primal Hunter 5,The Primal Hunter 5,Zogarth,,<a href='https://www.goodreads.com/book/show/63921744-the-primal-hunter-5?from_search=true&from_srp=true&qid=XhiyrONVM7&rank=5'>The Primal Hunter 5</a>,https://www.goodreads.com/book/show/63921744-the-primal-hunter-5?from_search=true&from_srp=true&qid=XhiyrONVM7&rank=5
2023,Dungeon Crawler Carl: Dungeon Crawler Carl Book 1,Dungeon Crawler Carl: Dungeon Crawler Carl Book 1,Matt Dinniman,,<a href='https://www.goodreads.com/book/show/56791389-dungeon-crawler-carl?from_search=true&from_srp=true&qid=J6xnX9I0ru&rank=2'>Dungeon Crawler Carl: Dungeon Crawler Carl Book 1</a>,https://www.goodreads.com/book/show/56791389-dungeon-crawler-carl?from_search=true&from_srp=true&qid=J6xnX9I0ru&rank=2
2023,Carls Doomsday Scenario: Dungeon Crawler Carl Book 2,Carls Doomsday Scenario: Dungeon Crawler Carl Book 2,Matt Dinniman,,<a href='https://www.goodreads.com/book/show/56377548-carl-s-doomsday-scenario?from_search=true&from_srp=true&qid=J6xnX9I0ru&rank=1'>Carls Doomsday Scenario: Dungeon Crawler Carl Book 2</a>,https://www.goodreads.com/book/show/56377548-carl-s-doomsday-scenario?from_search=true&from_srp=true&qid=J6xnX9I0ru&rank=1
2023,The Dungeon Anarchist's Cookbook: Dungeon Crawler Carl Book 3,The Dungeon Anarchist's Cookbook: Dungeon Crawler Carl Book 3,Matt Dinniman,,<a href='https://www.goodreads.com/book/show/57001971-the-dungeon-anarchist-s-cookbook?from_search=true&from_srp=true&qid=J6xnX9I0ru&rank=3'>The Dungeon Anarchist's Cookbook: Dungeon Crawler Carl Book 3</a>,https://www.goodreads.com/book/show/57001971-the-dungeon-anarchist-s-cookbook?from_search=true&from_srp=true&qid=J6xnX9I0ru&rank=3
2023,The Gate of the Feral Gods: Dungeon Crawler Carl Book 4,The Gate of the Feral Gods: Dungeon Crawler Carl Book 4,Matt Dinniman,,<a href='https://www.goodreads.com/book/show/57905101-the-gate-of-the-feral-gods?from_search=true&from_srp=true&qid=J6xnX9I0ru&rank=4'>The Gate of the Feral Gods: Dungeon Crawler Carl Book 4</a>,https://www.goodreads.com/book/show/57905101-the-gate-of-the-feral-gods?from_search=true&from_srp=true&qid=J6xnX9I0ru&rank=4
2023,The Butcher's Masquerade: Dungeon Cralwer Carl Book 5,The Butcher's Masquerade: Dungeon Cralwer Carl Book 5,Matt Dinniman,,<a href='https://www.goodreads.com/book/show/60233239-the-butcher-s-masquerade?from_search=true&from_srp=true&qid=J6xnX9I0ru&rank=6'>The Butcher's Masquerade: Dungeon Cralwer Carl Book 5</a>,https://www.goodreads.com/book/show/60233239-the-butcher-s-masquerade?from_search=true&from_srp=true&qid=J6xnX9I0ru&rank=6
2023,He Who Fights with Monsters 9,He Who Fights with Monsters 9,Shirtaloon,,<a href='https://www.goodreads.com/book/show/68046804-he-who-fights-with-monsters-9?from_search=true&from_srp=true&qid=tlIH4CPXxF&rank=1'>He Who Fights with Monsters 9</a>,https://www.goodreads.com/book/show/68046804-he-who-fights-with-monsters-9?from_search=true&from_srp=true&qid=tlIH4CPXxF&rank=1
2023,Iron Prince (Warformed: Stormweaver Book1),Iron Prince (Warformed: Stormweaver Book1),Bryce O'Connor and Luke Chmilenko,,<a href='https://www.goodreads.com/book/show/55559974-iron-prince?from_search=true&from_srp=true&qid=rgqdeOXzxM&rank=2'>Iron Prince (Warformed: Stormweaver Book1)</a>,https://www.goodreads.com/book/show/55559974-iron-prince?from_search=true&from_srp=true&qid=rgqdeOXzxM&rank=2
2023,The Eye of the Bedlam Bride: Dungeon Crawler Carl Book 6,The Eye of the Bedlam Bride: Dungeon Crawler Carl Book 6,Matt Dinniman,,<a href='https://www.goodreads.com/book/show/125887685-the-eye-of-the-bedlam-bride?from_search=true&from_srp=true&qid=36g3yBldUl&rank=1'>The Eye of the Bedlam Bride: Dungeon Crawler Carl Book 6</a>,https://www.goodreads.com/book/show/125887685-the-eye-of-the-bedlam-bride?from_search=true&from_srp=true&qid=36g3yBldUl&rank=1
